"id","dtUTC","lon","lat"
"035m02",2018-10-31 00:57:00,150.12817382246,-36.3620466229044
"035m02",2018-10-31 01:02:00,150.127225842926,-36.3643107319718
"035m02",2018-10-31 01:07:00,150.127748774199,-36.3659378947684
"035m02",2018-10-31 01:12:00,150.128393537386,-36.3659697666488
"035m02",2018-10-31 01:17:00,150.127965439816,-36.3654024069525
"035m02",2018-10-31 01:22:00,150.127050409614,-36.3646341323192
"035m02",2018-10-31 01:27:00,150.125964452924,-36.3662235604193
"035m02",2018-10-31 01:32:00,150.126794716698,-36.3674327479161
"035m02",2018-10-31 01:37:00,150.127061932247,-36.3690086800321
"035m02",2018-10-31 01:42:00,150.126871456973,-36.3673513272252
"035m02",2018-10-31 01:47:00,150.124836970793,-36.3662878387376
